url,category,depth_limit,priority,notes
https://sist.shanghaitech.edu.cn/sist_en/DoctorialwCSwProgram/list.htm,program_requirements,1,2,CS PhD Program
https://sist.shanghaitech.edu.cn/sist_en/EEPhwDProgram/list.htm,program_requirements,1,2,EE PhD Program
https://sist.shanghaitech.edu.cn/sist_en/SummerProgram_5345/list.htm,admission,2,2,Summer Program
https://sist.shanghaitech.edu.cn/sist_en/StudentStyle_7744/list.htm,news,3,2,Our Students
https://sist.shanghaitech.edu.cn/2711/list.htm,admission,2,1,招生工作
https://sist.shanghaitech.edu.cn/bkszs/list.htm,admission,2,1,本科生招生
https://sist.shanghaitech.edu.cn/yjszs/,admission,2,1,研究生招生介绍一览
https://sist.shanghaitech.edu.cn/2825/list.htm,admission,2,1,硕士研究生招生
https://sist.shanghaitech.edu.cn/tzgg/list.htm,admission,3,1,招生通知公告
https://sist.shanghaitech.edu.cn/bkzn/list.htm,admission,2,1,报考指南
https://sist.shanghaitech.edu.cn/zsxc/list.htm,admission,3,2,招生宣传
https://sist.shanghaitech.edu.cn/msfc/list.htm,admission,3,2,师生风采
https://sist.shanghaitech.edu.cn/2826/list.htm,admission,2,1,博士研究生招生
https://sist.shanghaitech.edu.cn/2827/list.htm,admission,2,1,招生 Q&A
https://sist.shanghaitech.edu.cn/sqxm/list.htm,admission,3,2,暑期项目
https://sist.shanghaitech.edu.cn/2713/list.htm,career,2,1,实习就业
https://sist.shanghaitech.edu.cn/2844/list.htm,career,3,1,实习信息
https://sist.shanghaitech.edu.cn/zpxx/list.htm,career,3,1,招聘信息
https://sist.shanghaitech.edu.cn/xjh/list.htm,career,3,1,宣讲会
https://sist.shanghaitech.edu.cn/2847/list.htm,career,2,2,企业导师
https://sist.shanghaitech.edu.cn/2858/list.htm,news,3,1,新闻
https://sist.shanghaitech.edu.cn/xyhd/list.htm,events,3,1,学院活动
https://sist.shanghaitech.edu.cn/2862/list.htm,events,3,2,国际会议
https://sist.shanghaitech.edu.cn/Newsletter/list.htm,news,3,2,Newsletter
https://sist.shanghaitech.edu.cn/2863/list.htm,events,3,1,通知公告
https://sist.shanghaitech.edu.cn/2864/list.htm,events,3,2,国际交流
https://sist.shanghaitech.edu.cn/nb/list.htm,school_info,2,2,年报
https://sist.shanghaitech.edu.cn/zyjz/list.htm,events,3,1,卓越讲座
